Number,ALICE+CMS Error,ATLAS Error,q,T,xx,yy,zz
212,29.65254201560835,13.72732747852328,1.0882089550907563,1.0,5.3530065632459305,1.1223085621643647,0.18703436019406217
213,29.652541780366143,13.727328171462872,1.0882089401895951,0.9999999850988388,5.3530065632459305,1.1223085621643647,0.18703436019406217
214,29.652541565254335,13.727328818022558,1.0882089401895951,1.0,5.353006578147092,1.1223085621643647,0.18703436019406217
215,29.65254126416073,13.727329853858745,1.0882089401895951,1.0,5.3530065632459305,1.122308577065526,0.18703436019406217
216,29.65254077156721,13.727331530205648,1.0882089401895951,1.0,5.3530065632459305,1.1223085621643647,0.18703437509522336
217,29.461303183790342,14.252313367409503,1.0497365103501226,1.0,4.589368618771796,1.2668487583190746,0.04265052274616363
218,29.461303183790342,14.252313367409503,1.0497365103501226,1.0,4.589368618771796,1.2668487583190746,0.04265052274616363
219,29.431637372980795,13.867955754965413,1.0706405674966484,1.0,5.00429253434327,1.1883126083281512,0.12110171498016402
220,29.431637372980795,13.867955754965413,1.0706405674966484,1.0,5.00429253434327,1.1883126083281512,0.12110171498016402
221,29.43163791103653,13.867954078632575,1.0706405823978096,1.0,5.00429253434327,1.1883126083281512,0.12110171498016402
222,29.43163765487224,13.867954927890954,1.0706405674966484,0.9999999850988388,5.00429253434327,1.1883126083281512,0.12110171498016402
223,29.431637451013277,13.867955498492087,1.0706405674966484,1.0,5.004292549244431,1.1883126083281512,0.12110171498016402
224,29.431637148897117,13.867956531804488,1.0706405674966484,1.0,5.00429253434327,1.1883126232293124,0.12110171498016402
225,29.431636656681555,13.867958286728847,1.0706405674966484,1.0,5.00429253434327,1.1883126083281512,0.12110172988132521
226,29.431637372980795,13.867955754965413,1.0706405674966484,1.0,5.00429253434327,1.1883126083281512,0.12110171498016402
227,29.43163791103653,13.867954078632575,1.0706405823978096,1.0,5.00429253434327,1.1883126083281512,0.12110171498016402
228,29.43163765487224,13.867954927890954,1.0706405674966484,0.9999999850988388,5.00429253434327,1.1883126083281512,0.12110171498016402
229,29.431637451013277,13.867955498492087,1.0706405674966484,1.0,5.004292549244431,1.1883126083281512,0.12110171498016402
230,29.431637148897117,13.867956531804488,1.0706405674966484,1.0,5.00429253434327,1.1883126232293124,0.12110171498016402
231,29.431636656681555,13.867958286728847,1.0706405674966484,1.0,5.00429253434327,1.1883126083281512,0.12110172988132521
232,31.18193143505023,13.725715510045644,1.050190706707417,1.0,4.469862272951675,1.3633960307364712,0.0
233,31.18193143505023,13.725715510045644,1.050190706707417,1.0,4.469862272951675,1.3633960307364712,0.0
234,29.400897155264893,13.87097573205981,1.0685955814177253,1.0,4.95084950820411,1.2058209505689832,0.10899154348214762
235,29.400897155264893,13.87097573205981,1.0685955814177253,1.0,4.95084950820411,1.2058209505689832,0.10899154348214762
236,29.400897866073585,13.870974039013277,1.0685955963188865,1.0,4.95084950820411,1.2058209505689832,0.10899154348214762
237,29.40089746154068,13.87097491739689,1.0685955814177253,0.9999999850988388,4.95084950820411,1.2058209505689832,0.10899154348214762
