#: table_doi: 10.17182/hepdata.91996.v2/t1
#: name: Table 1
#: description: Transverse momentum spectra as a function of the event multiplicity for pp collisions at 13 TeV. Event multiplicity is estimated with the number of SPD tracklets. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.
#: data_file: data1.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGED X
#: keyword observables: D2N/DETARAP/DPT
#: keyword phrases: 
#: keyword cmenergies: 
#: SQRT(S) [TEV],,,13
#: ETARAP,,,-0.8 - 0.8
#: RE,,,P P --> CHARGED X
pT [GEV/C],pT [GEV/C] LOW,pT [GEV/C] HIGH,d^2N/dEtadpT [C/GEV (X')],stat +,stat -,"sys,total +","sys,total -","sys,uncorrelated +","sys,uncorrelated -"
0.32499999999999996,0.3,0.35,2.394e+01,1.320e-02,-1.320e-02,1.049e+00,-1.049e+00,7.946e-01,-7.946e-01
0.375,0.35,0.4,2.169e+01,1.239e-02,-1.239e-02,9.802e-01,-9.802e-01,7.217e-01,-7.217e-01
0.42500000000000004,0.4,0.45,1.960e+01,1.170e-02,-1.170e-02,9.203e-01,-9.203e-01,6.537e-01,-6.537e-01
0.475,0.45,0.5,1.767e+01,1.130e-02,-1.130e-02,8.498e-01,-8.498e-01,5.910e-01,-5.910e-01
0.525,0.5,0.55,1.586e+01,1.101e-02,-1.101e-02,7.845e-01,-7.845e-01,5.322e-01,-5.322e-01
0.575,0.55,0.6,1.429e+01,1.066e-02,-1.066e-02,7.252e-01,-7.252e-01,4.812e-01,-4.812e-01
0.625,0.6,0.65,1.286e+01,1.033e-02,-1.033e-02,6.540e-01,-6.540e-01,4.348e-01,-4.348e-01
0.675,0.65,0.7,1.161e+01,1.005e-02,-1.005e-02,5.712e-01,-5.712e-01,3.943e-01,-3.943e-01
0.725,0.7,0.75,1.052e+01,9.722e-03,-9.722e-03,5.016e-01,-5.016e-01,3.590e-01,-3.590e-01
0.775,0.75,0.8,9.550e+00,9.402e-03,-9.402e-03,4.476e-01,-4.476e-01,3.277e-01,-3.277e-01
0.825,0.8,0.85,8.662e+00,9.083e-03,-9.083e-03,4.012e-01,-4.012e-01,2.990e-01,-2.990e-01
0.875,0.85,0.9,7.888e+00,8.788e-03,-8.788e-03,3.628e-01,-3.628e-01,2.740e-01,-2.740e-01
0.925,0.9,0.95,7.140e+00,8.456e-03,-8.456e-03,3.258e-01,-3.258e-01,2.497e-01,-2.497e-01
0.975,0.95,1.0,6.523e+00,8.097e-03,-8.097e-03,3.120e-01,-3.120e-01,2.299e-01,-2.299e-01
1.05,1.0,1.1,5.678e+00,5.304e-03,-5.304e-03,3.229e-01,-3.229e-01,2.518e-01,-2.518e-01
1.15,1.1,1.2,4.737e+00,4.786e-03,-4.786e-03,2.734e-01,-2.734e-01,2.126e-01,-2.126e-01
1.25,1.2,1.3,3.921e+00,4.290e-03,-4.290e-03,2.250e-01,-2.250e-01,1.798e-01,-1.798e-01
1.35,1.3,1.4,3.354e+00,3.985e-03,-3.985e-03,1.925e-01,-1.925e-01,1.538e-01,-1.538e-01
